Model,RMSE,MAE,R2,Accuracy (%)
XGBoost,0.000455574549428579,0.0003395994527705689,0.996341462908808,99.63414629088079
RandomForest,0.0012929921235797545,0.0004703305493918176,0.9821691134148942,98.21691134148942
LightGBM,0.00198110714521005,0.0005470850566862884,0.9655667034106666,96.55667034106666
Ridge,0.00900003561968452,0.004439530731011657,0.26889978383317953,26.889978383317953
